[ 2016-02-27T00:14:36+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-02-27T00:14:36+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:36+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.010001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --START--
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-27T00:14:38+08:00 ] /index.php/Admin/User/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-02-27T00:14:39+08:00 ] /index.php/Admin/User/login | INFO: Tag[ route_check ] --START--
